S20902020014 05262978170127251027110241128128          0526297817                                                               
D201202510270869679   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000872000000872000010402801  K008         
D201202510270869680   0114987770504609±ÃÞÎ½º-ÜÁÖ³Ö³¼ÞÖ³20   20MG PTP      100T00001000000525000000525000005902802  IV5A         
D201202510270869680   0214987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003250000003250000037802707  15440        
D201202510270869680   0314987086170802¸ÞØÒËßØÄÞ¼ÞÖ³1MG¢»ÝÜ   1MG PTP      100T00001000000926000000926000010402803  AF0071A      
D201202510270869680   0414987306066984ËÞµÌ´ÙÐÝR¼ÞÖ³              PTP      100T00001000000522000000522000006102809  035X1        
D201202510270869680   0514987155783049ÌßÛËßÍÞØÝ´Ý»Ý´Ý¼ÞÖ³2  20MG PTP      100T00001000002264000002264000025502804  D0040        
D201202510270869681   0114987155165722ÒÎËÞÙÊ²ºÞ³¼ÞÖ³HD¢Ä-Ü       PTP      100T00001000002050000002050000023302804  D0013        
D201202510270869759   0114987233131762Ï²½Ø-¼ÞÖ³5MG           5MG PTP      100T00001000001479000001479000017502711  24017F1      
D201202510270869760   0114987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00001000000883000000883000010402810  MD6335       
D201202510270869760   0214987650650105¸Ú½Ä-Ù¼ÞÖ³2.5MG      2.5MG PTP      100T00001000001543000001543000018502709  00640        
D201202510270869760   0314987699058931¾ÙÍÞÂ¸½¶Ìß¾Ù50MG      50MG PTP    100CAP00001000000851000000851000009902607  45A09K       
D201202510270869760   0414987770510501ÃÞÍÞÙ»Þ¼ÞÖ³20MG       20MG PTP      100T00001000012546000012546000144202801  IW5E         
D201202510270869760   0514987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001220000001220000013702805  MR6274       
D201202510270869761   0114987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001719000001719000019322708  C919U        
D201202510270869761   0214987188412077Ó-×½Ã-Ìß20MG            7X10CM    7Ï²X1000001000001170000001170000013162706  C706T        
E200000170000152510271102                                                                                                       
S20902690019 05262978170000251027110001128128          0526297817                                                               
D201202510278624548   0114987123144087ÍÞ²½ÝOD ¼ÞÖ³0.3 PTP  0.3MG   100T       00001000001287000001287000014902707  KH031        
E200000030000012510271100                                                                                                       
